日期,大区,产品品类,产品名称,渠道类型,销量,销售额,营销费用
2025-01-01 00:00:00.000000000,华东大区,汽车零部件,轻量化轮毂,渠道分销,39,48737.85,3966.28
2025-01-01 02:24:53.578715743,华南大区,汽车零部件,轻量化轮毂,线下直销,37,46915.08,4746.56
2025-01-01 04:49:47.157431486,华东大区,智能硬件,激光传感器,线上电商,35,11197.8,1537.04
2025-01-01 07:14:40.736147229,华东大区,智能硬件,智能手环V2,渠道分销,80,21959.16,3196.96
2025-01-01 09:39:34.314862972,华北大区,医疗耗材,高分子医用导管,渠道分销,19,2833.16,362.02
2025-01-01 12:04:27.893578715,华北大区,汽车零部件,精密齿轮,渠道分销,42,47954.6,5541.73
2025-01-01 14:29:21.472294458,华南大区,汽车零部件,液压底盘件,渠道分销,24,31333.99,3190.51
2025-01-01 16:54:15.051010202,华东大区,智能硬件,车载智能模块,线上电商,76,21876.13,2164.54
2025-01-01 19:19:08.629725945,华东大区,汽车零部件,液压底盘件,线上电商,70,75640.27,8474.49
2025-01-01 21:44:02.208441688,华东大区,汽车零部件,液压底盘件,线下直销,97,106210.95,11382.68
2025-01-02 00:08:55.787157431,华东大区,医疗耗材,高分子医用导管,线下直销,96,15832.51,1972.83
2025-01-02 02:33:49.365873174,华东大区,医疗耗材,诊断试剂盒,线上电商,32,4740.48,394.09
2025-01-02 04:58:42.944588917,华东大区,医疗耗材,诊断试剂盒,线上电商,99,15469.78,2009.39
2025-01-02 07:23:36.523304660,华东大区,智能硬件,智能手环V2,渠道分销,73,20083.2,1870.04
2025-01-02 09:48:30.102020404,西部大区,医疗耗材,高分子医用导管,线上电商,74,12188.85,1769.51
2025-01-02 12:13:23.680736147,西部大区,汽车零部件,精密齿轮,渠道分销,80,97932.07,14514.8
2025-01-02 14:38:17.259451890,西部大区,汽车零部件,轻量化轮毂,渠道分销,91,99122.22,10305.84
2025-01-02 17:03:10.838167633,华东大区,智能硬件,智能手环V2,线上电商,92,29698.17,3614.54
2025-01-02 19:28:04.416883376,华东大区,智能硬件,智能手环V2,线上电商,46,13975.84,1582.71
2025-01-02 21:52:57.995599119,华东大区,汽车零部件,精密齿轮,渠道分销,29,31654.98,4368.15
